model_registry_id,status,retrospective_isotonic_allowed,missing_metadata,available_evidence,retrain_proposal
820,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
836,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
837,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
838,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
839,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
840,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
841,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
842,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
843,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
844,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
845,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
846,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
847,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
848,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
849,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
850,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
851,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
852,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
853,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
854,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
855,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
856,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
857,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
858,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
859,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
860,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
861,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
862,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
863,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
864,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
865,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
866,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
867,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
868,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
869,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
870,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
871,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
872,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
873,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
874,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
875,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
876,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
877,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
878,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
879,UNAVAILABLE_WITHOUT_RETRAIN,false,fold_id; train_calibration_validation_partition_metadata; temporal_split_metadata,raw_score=true; calibrated_score=true; final_outcome=true; close_time_recovered=true,Full retrain with explicit out-of-fold/calibration split tracking and fold_id preservation
